sent_id,premise,hypothesis
10164e,"findings, the Administrator has determined that an environmental impact statement need not be prepared.",The Administrator believes a environmental impact statement should not be prepared.
101940e,They encourage the view that there's nothing--from Iraqi germ weapons programs to Serbian atrocities--that a few invisible planes can't fix.,A few invisible planes are all it takes to fix certain issues.
101940n,They encourage the view that there's nothing--from Iraqi germ weapons programs to Serbian atrocities--that a few invisible planes can't fix.,Iraqi chemical weapons and Serbian atrocities can be easily fixed with a few invisible planes.
103482e,"Although it is a significant part of the poverty population, Asians historically have not been able to participate in the services and programs available to the poor, he said.",Asians are usually not poor.
103863c,for a change i i got i get sick of winter just looking everything so dead i hate that,I'm so sick of summer.
104837n,Some management consultants describe dysfunctional interactions with one's fellow workers as value-subtracting behavior.,Consultants most often have personality clashes at the center of conflict.
105191n,The Washington Post called it the culmination of a six-month game of political chicken.,"It has been called by the Washington Post as the culmination of a six-month game of political chicken, said the CNN."
107152n,because i don't want to my mother was also a domineering type of personality because she had to take over the things that my dad fell short in,My mother had to work hard to take care of the family.
108083c,Do you want to see historic sights and tour museums and art galleries?,"You wouldn't like to visit historic places, museums, and art galleries, would you?"
108847c,The category of qualifying teen-agers and women could include all recipients of welfare or other public assistance (including daughters of recipients) who are competent to give informed consent to the implant procedure.,Women who are on welfare will not qualify for the implant.
108934c,Blue says Blumenthal claimed Clinton had told him that Lewinsky had made unwanted sexual advances.,Clinton told Blumenthal that he was the one harassing Lewinsky.
112701n,"It has a full program of events, including lectures.",There might be some lectures in the very full docket of events.
113060e,I hope that our common interests will lead us to a consensus - one that will provide the country with significant benefits.,it is hoped that the common interests will lead us to a consensus.
113585n,we only have to get up for you know for the daytime feedings,We have to get up early to prepare the daytime feedings.
114316e,There's a dramatic difference between someone like Michael Dell and someone like Al Dunlap.,There is a vast destination between the two individuals.
115139n,"But in fact Haveman and Wolfe's statistical analysis is designed to rule out this and similar alternative theories, leaving us to conclude that the moves themselves are harmful.",We concluded that moves of the government are harmful.
11618n,Enlarging the village was not desirable and most knew that Severn only desired wealth and a seat on the council of elders.,Severn only cared about being  a millionaire.
116970e,", number of parks or acres of land) rather than in terms of historical cost.",Parks have a historical cost that might be expressed based on acreage.
117134c,De Wit worked from likenesses of actual monarchs to produce his portraits.,De Wit used fictional monarchs to produce his portraits.
117496n,He caught his breath.,He was flustered.
118652c,"iii Program Letter 1998-1, published on February 12, 1998, called upon all LSC recipients to analyze any progress made toward the development of the legal services model envisioned by state planners.",State planners provide contract services to analyze LSC recipients legal models.
121168e,It was other-worldly.,It was very good.
121910n,"If ancient writings give only a romanticized view, they do offer a more precise picture of Indo-Aryan society.","Ancient writings don't show an accurate picture of Indo-Anryan society, making it look too kind."
124028e,"Most of the dances are suggestive of ancient courtship rituals, with the man being forceful and arrogant, the woman shyly flirtatious.",Traditional dating generally involves an alpha male with a beta female.
125021n,"Other functional components of the Postal Service are presumed here not to exhibit significant scale economies, although this has not been demonstrated.",The Postal Service has very small scale economies.
125225n,"Five years ago, Speaker-elect Newt Gingrich promised to make important information available online at the same moment that it is available to the highest-paid Washington lobbyist.",Newt Gingrich promised that the lobbyists will post important information online.
126654n,(Hypothetical data for this example are given in table 2.2.),The data exists
126837e,There are other reasons that wrecks cause fan excitement--e.g.,A cause for fan excitement can be wrecks.
130315c,yeah now do Indian are Indian foods kosher,"No, indian foods are not kosher."
131718n,They consolidated programs to increase efficiency and deploy resources more effectively,"Programs to increase efficiency were consolidated, because they care deeply about efficiency. "
134641n,he's a college graduate type guy he's been in all he's an entrepreneur and he gives very practical financial advice about cars very you know not not nothing college level basic stuff his name is Bruce Williams he's on national radio uh i don't know what it would be down there you might want to whatever your radio talk shows are down there he's on that channel it's uh it's five seventy up here,the entrepreneur runs a car business of his own
135247n,The original wax models of the river gods are on display in the Civic Museum.,Thousands of people come to see the wax models.
136407c,Are you sure?,Aren't you indecisive?
137083n,It was always a part of me.,"Even though it is not true anymore, back then it was a portion of me."
138210c,"At that event, legal services personnel, court personnel, and other technology experts saw demonstrations by four companies on their products, and assessed their utility for preparing pro se documents.",Legal services personnel heard product descriptions.
138317e,did you see it,Can you see it?
138500n,"I think as soon as they get you, they'll come for me.",I'll help you get away.
140704e,I think this report shows that we have had an inordinately productive and successful year.,The report shows that we need to be productive to have a successful year
143789c,"What a brilliantly innocuous metaphor, devised by a master manipulator to obscure his manipulations.",The simile was created by the manipulator.
14442e,i'd say they appraised it it's gone up you now maybe like five percent,"If I were to have it appraised, it would have gone up. "
14545c,"After three days of using the gel, my mouth has returned to its familiar self.",After three days they could no longer stand the pain.
146070c,Game-trackers will be out by this time in an attempt to locate the tiger's hunting ground for the evening safari.,Trackers wake up early to locate the tigers for the safari.
16945c,"Unrest and some political extremism have surfaced from time to time, but since aid from France is so vital, and French customs so ingrained, it seems almost inconceivable that the FWI will seek total independence as other Caribbean islands have done.",There is a great deal of political extremism.
18163n,"Generally, data collection and analysis are concurrent and interactive-that is, yoked in case study methods.",Data analysis includes case studies
19663c,The church has an even more elaborate Baroque pulpit.,The court has a Baroque style pulpit.
20882c,"Even though national saving remains relatively low by U.S. historical standards, economic growth in recent years has been high because more and better investments were made.",Americans have increased their savings rate each year.
22462c,"The director, Michael Mann, has never tried to tell a story as complex (or nonviolent) as The Insider , and he and his co-screenwriter, Eric Roth, don't shape their narrative very satisfyingly.",Michael Mann was the writer.
28306e,"They made little effort, despite the Jesuit presence in Asia, to convert local inhabitants to Christianity or to expand their territory into the interior.",Local inhabitants of Asia were unable to be converted to Christianity.
29373e,"After considering comments of the Postal Service and other participants, the Commission found the proposal problematical, and declined to pursue it.",The Commission ultimately declined to pursue the proposal.
30648c,8. Jury Nullification.,The jury cannot make a decision contrary to the judge's.
32078e,George W. Bush and Bill Bradley are not talking about individual holders of wealth.,George W. Bush and Bill Bradley are talking about collective holders of wealth
32572c,I guess he thought you'd turned up your toes.,He knew that you'd turned up your toes.
35422n,"Marina del Rey is another, where you can also charter a yacht.",Yacht charters are not only possible at Marina del Rey.
38100e,no no but you know i was just thinking of getting one those for the yard because they they are really nice and um up here we have uh we have quite a few mosquitoes at nighttime,I was considering getting one of those for my home.
43599e,"It was stated that auditors frequently leave the profession early in their careers to join clients, and that over half of CPAs are not practicing public accounting.",Most CPAs are in private accounting.
44957c,Postal Service data to define the relationship between costs and cost drivers.,Postal Service data is used to define the relationship between cost and inflation.
47404c,do you really romance,Are you just friends?
48454e,"These revelations were embarrassing to Clinton's opponents, wrote the Washington Post . The Sun-Times quoted Rahm Emanuel, Stephanopoulos' successor, on the  From Day One I always thought this was politically motivated and had politics written all over it; after five years, it is nice to have the truth catch up with the president's political opponents.",Clinton's supporters were embarrassed by the news.
51021e,"The same year, the University of Hawaii campus at Manoa became the site of the Center for Cultural and Technical Interchange Between East and West (popularly known as the East West Center), a unique and venerated resource for advanced Pacific Rim studies.",The University of Hawaii became known as the site for advanced studies.
51148e,A poll of Hong Kong residents finds them sanguine about the city's future.,"Although the situation is dismal, most Hong Kong residents are optimistic about the city's future. "
53283c,"External Validity The extent to which a finding applies (or can be generalized) to persons, objects, settings, or times other than those that were the subject of study.",External validity is about testing conclusions on more individuals in order to confirm the initial hypothesis.
61611n,"Down the street from the statue is the Bank of Ireland , built in 1729 to house the Irish parliament.",The Bank of Ireland's location used to be that of the Irish parliament.
67836e,Who are these sons of eggs?,Who are these people?
69466n,um-hum they keep you entertained they sure do we have a uh my wife's uh mother is uh oh about  seventy seven i guess she really gets a thrill when we go over to see her and bring the dog i think she's more happy to see the dog than she is us,My wife's mother owns three dogs and loves ours too.
70100e,It profiles a new kind of office superstore-cum-hotel that sells generic office space to lonely telecommuters.,Telecommuters buy generic office space.
71888n,yeah okay you go ahead,Maybe you can go ahead.
73518e,no North Carolina State,There is no state called North Carolina
7449c,"In 1982, Wallace won his last race for governor with a quarter of the black votes cast in the Democratic primary, a fact alluded to in a written epilogue at the end of the film.",Wallace was not reelected as governor.
75084c,"Hindus then went on the rampage through Sikh communities, resulting in a round of communal violence.",The Hindus peacefully protested against the Sikhs.
81938n,"than the passage of time, the rate of inflation, or geographic location, as so often is the case today.",These are all cases today.
88349e,"I think it behooves Slate, in its effort to take over the public-opinion industry, to make a thorough effort to uncover the truth behind this unnatural connection.",Slate should make an effort uncover the truth.
91601e,"Even today, Yanomamo men raid villages, kill men, and abduct women for procreative purposes.",Yanomamo is a terrorist.
